jogjakarra;yogyakarta
sgt;sangat
minta;mintak
mal;pusat perbelanjaan
scuritia;karyawan keamanan
msk;masuk
sekitsran;sekitar
bngt;banget
mantaap;mantap
kmn;kemana
honeymoon;bulan madu
buged;biaya
mantuls;mantap betul
smua ;semua
info;informasi
melipir;mampir
nov;november
skli;sekali
hingga;sampai
strategos;starategis
k;kamar
mengenakan;enak
pegawainya;karyawan
renov;renovasi
ngangenin;kangen
agak;sedikit
recomended;rekomendasi
channel ;siaran
memuaskan;sangat puas
kolem;kolam
aesthetic;indah 
doang ;saja
kaga;tidak
bareng;bersama
or;atau
staffnya;karyawan
stafnya;karyawan
terjangkau;murah
atsmosfir;suasana
tmpt;tempat
bngt;banget
bgus;bagus
kl;kalo
bwat;buat
pasngan;pasangan
duit;uang
kamrnya;kamar
gesit;cepat
g;tidak
shower;selang air
bngat;banget
dgan;dengan
t4;tempat
hny;hanya
front;depan
office;kantor
tlg;tolong
lovely;suka
perfecr;sempurna
dg;dengan
baguss;bagus
ngebosenin;bosen
wueenak;enak
suempitttt;sempit
senagat;sangat
yogya;yogyakarta
great;bagus
cm;cuma
bangeeet;banget
kmren;kemarin
near;dekat
brada;berada
tngah;tengah
josss;mantap
bfast;sarapan
aesthetic;indah
sukaaaa;suka
homey;nyaman
hirukpikuk;ramai
makasih;terima kasih
ademmm;sejuk
gak;tidak
mu;kamu
bagusss;bagus
sevis;pelayanan
cucok;cocok
krg;kurang
tq;terima kasih
sngat;sangat
ekspektasi;harapan
kek;seperti
singgahi;singgah
tangibel;fasilitas
kmn;kemana
cozzy;nyaman
besttt;paling baik
marlboro;malioboro
enaak;enak
pokonya;intinya
rekomendid;rekomendasi
mehong;mahal
finishing;penyelesaian
nice;bagus
hoteknya;hotel
bagusss;bagus
thaks;terima kasih
kerenn;keren
enaaaak;enak
atea;aveta
muanteppp;mantap
mhn;mohon
include;termasuk
plus;tambah
mantabb;mantap
chse;sertifikasi
nt;nanti
bialngnya;kasih tau
hits;populer
mo;ingin
supple;ramah
aksen;akses
smp;sampai
sblm ;sebelum
hr;hari
pnya;punya
pemgunjung ;pengunjung
pingin;ingin
aesthetic;indah
nyamann;nyaman
rekom;rekomendasi
d;di
manula;lanjut usia
lavatory;tolitet
